"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7184569406753","41.3529588394015","40.5892133865347","40.8471344125517","37.7930525199834","37.3525123540573","36.4067500728394","39.9089042946697","40.6273224223073","36.5902610040963","39.503885107339","37.7835869210488","32.2479114989161","31.5703759210791","","",
"Afghanistan","AFG","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.7641537328888","28.2277820784536","18.3605751100374","23.4535383334864","23.2801147984071","21.9683395897047","28.8093672830339","28.8305202485778","28.5808909988014","33.6964479786467","30.0932594614547","33.9507846723033","","","","","","","",
"","AFW","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1075037189274","37.3072330276234","39.604596223992","38.7838888343077","37.63330261891","37.9240968532445","37.1652245330448","","","",
"Angola","AGO","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.679079812638","23.9661079473176","32.8560284140535","37.7595866238821","36.6201970142837","52.697900041867","36.4961785081504","38.6956787634996","34.9564016230683","36.5096325185758","46.7471963438214","36.1371563371655","31.3249355527468","35.9392059942862","31.0253854564896","32.9231216608023","47.8606341581186","48.2007241368032","44.6149468736818","38.4684501911376","39.503885107339","","","","","",
"Albanie","ALB","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2894457311021","13.506184561065","","10.6561513897546","","","","30.5713121213223","29.3518778558241","29.6739004281338","","","","","","","26.6061837832579","26.878818918257","25.5929427888447","24.8713076575217","24.4707539254482","23.0646147848576","23.7847238030566","23.5292983855356","23.8784786984864","23.2497923558788","22.722883232675","17.9471737349014","20.528064767933","",
"Andorre","AND","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Le monde arabe","ARB","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Émirats arabes unis","ARE","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.8586267907083","36.7857142857143","35.9995839400874","","","","","","","","","","","","29.6668701092665","31.0860265526948","32.2269932564375","34.2673169281721","36.6698447163169","34.8242797290478","37.2783474261045","35.5720009648721","34.4651912141152","34.3002782771914","33.0748867533599","30.2065414983085","32.1623609580611","",
"Argentine","ARG","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0385020726481","25.2646690280505","20.0341735898721","16.7858295364046","16.663972930559","17.2434470403934","16.4010369975529","16.4121399574715","15.0147548828471","15.0785091063823","14.6946991724446","14.2387188197442","11.3447434352894","11.6703669135449","11.506017531149","","","","","","","","","","12.8727107566052","13.1683821566656","12.4328607996944","12.7508379712161","12.0763220545805","11.6233519403192","10.0711174062971","10.487479392358","11.4466039205446","12.9118956781293","",
"Arménie","ARM","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0590056542092","20.4519227335601","21.2973220253214","21.365911001366","21.0111270080831","24.7993137189694","23.5953113472846","23.5523515240019","22.2880190547627","21.7551516299014","21.5962887484815","20.9909674380824","20.7556604044706","21.730252124967","20.7390978788488","21.1602530143928","19.2051507495985","18.4095939642752","19.0682840675069","19.3306622363364","",
"Samoa américaines","ASM","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua-et-Barbuda","ATG","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australie","AUS","Rémunération des employées (% des dépenses)","GC.XPN.COMP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1418296730057","2.17120169621885","2.17141199787306","2.22865334162767","2.32995114618564","2.26971201588878","2.2457901055937","2.89170446055978","3.04850876913773","12.1348167109711","10.7220237011172","9.93222993222993","9.83814582424252","10.3775504272511","10.4309035687168","10.1978079596773","10.2970010607181","10.4851371350015","10.4748428111364","9.83882513980369","10.2865476761245","10.5207211946515","10.5322237472511","11.4802926753249","10.5808590131612","10.4309918448567","10.6421263688242","10.6421065898221","10.3452914891019","10.5265429434614","9.9570348724723","8.82767759811714","9.49417851519171","","",
