Code obligation,Nom,Date émission,Date maturité,Cours du jour en valeur,Coupon Couru,Dernier paiement (Date/Valeur du coupon),Organization,start,end,interest,last_payment_date,last_payment_value
BHB.O1,BHB 6.25% 2012-2017,08/02/2013,,10 000,"1 165,37","11/10/2015 / 587,50",BHB,2012,2017,6.25,11/10/2015,/
BHSN.O1,"DIASPORA BONDS BHS 6,25% 2019-2024",03/12/2019,,10 000,26712,"10/01/2023 / 309,93",DIASPORA BONDS BHS,2019,2024,6.25,10/01/2023,/
BIDC.O2,BIDC 6.75% 2010-2017,13/01/2011,,10 000,"1 001,43","04/04/2016 / 337,50",BIDC,2010,2017,6.75,04/04/2016,/
BIDC.O3,BIDC-EBID 6.50% 2014-2021,21/07/2014,,10 000,31602,"28/09/2020 / 325,00",BIDC-EBID,2014,2021,6.50,28/09/2020,/
BIDC.O4,"BIDC-EBID 6,10% 2017-2027",30/11/2017,,6 250,38021,"16/06/2022 / 381,25",BIDC-EBID,2017,2027,6.10,16/06/2022,/
BIDC.O5,"BIDC-EBID 6,40% 2019-2026",11/06/2020,,10 100,27227,"12/01/2023 / 320,00",BIDC-EBID,2019,2026,6.40,12/01/2023,/
BIDC.O6,"BIDC-EBID 6,50% 2021-2028",22/07/2021,,10 300,4986,"18/05/2023 / 327,67",BIDC-EBID,2021,2028,6.50,18/05/2023,/
BIDC.O7,"BIDC-EBID 5,90% 2022-2029",20/09/2022,,10 300,30389,"09/12/2022 / 294,19",BIDC-EBID,2022,2029,5.90,09/12/2022,/
BOABF.O3,BOA BURKINA FASO 6.25% 2012-2017,08/02/2013,,10 000,"1 165,37","11/10/2015 / 587,50",BOA BURKINA FASO,2012,2017,6.25,11/10/2015,/
BOAC.O2,BOA COTE D IVOIRE 6.25% 2012-2017,08/02/2013,,10 000,"1 214,96","11/10/2015 / 612,50",BOA COTE D IVOIRE,2012,2017,6.25,11/10/2015,/
BOAD.O11,BOAD 5.95% 2012-2019,04/07/2012,,10 000,58685,"06/03/2018 / 595,00",BOAD,2012,2019,5.95,06/03/2018,/
BOAD.O12,BOAD 5.95% 2014-2021,03/06/2015,,10 000,58685,"26/12/2020 / 595,00",BOAD,2014,2021,5.95,26/12/2020,/
BOAN.O2,BOA NIGER 6.25% 2012-2017,08/02/2013,,9 250,"1 165,37","11/10/2015 / 587,50",BOA NIGER,2012,2017,6.25,11/10/2015,/
BOAS.O2,BOA SENEGAL 6.50% 2012-2017,08/02/2013,,10 000,"1 211,98","11/10/2015 / 611,00",BOA SENEGAL,2012,2017,6.50,11/10/2015,/
CAAB.O3,CAA-BENIN 6.50% 2011-2016,16/02/2012,,10 000,64112,"09/11/2015 / 650,00",CAA-BENIN,2011,2016,6.50,09/11/2015,/
CRRH.O1,CRRH-UEMOA 6.10% 2012-2022,08/11/2012,,9 925,29826,"13/02/2022 / 305,00",CRRH-UEMOA,2012,2022,6.10,13/02/2022,/
CRRH.O10,"CRRH-UEMOA 6,10% 2022-2037",25/04/2023,,10 000,44486,"03/02/2023 / 610,00",CRRH-UEMOA,2022,2037,6.10,03/02/2023,/
CRRH.O2,CRRH-UEMOA 6.10% 2012-2024,06/06/2013,,10 000,25108,"17/01/2023 / 305,00",CRRH-UEMOA,2012,2024,6.10,17/01/2023,/
